country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Malaysia,Sabah,20,6721855,829806182,123,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sabah,25,6710515,829233966,124,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sabah,30,6684138,827865730,124,37975953,23635732,14340220,30599807,29405992,18807487,43810326,39549793,44460842,35069414,47190292,55579979,50967371,39322980,56391964,29039551,68481891,52325680,54641988,33867091,30868695,26416158,20505506,21174774,20124252,24845076
Malaysia,Sabah,50,6585815,822443777,125,37727202,23082071,14645131,30467741,29274432,18747737,43688353,39447899,44380895,34980551,47097574,55468437,50883989,39247678,56195005,28761467,67810863,51724390,53928711,33537627,30565939,26081670,20211795,20932812,19905080,24385005
Malaysia,Sabah,75,6165734,792620641,129,36229127,21046557,15182570,29601554,28336040,18274286,42720698,38588537,43617636,34266629,46221572,54452944,50066610,38558765,54945082,27110186,63864282,48408976,49985805,31830807,28893735,24273318,18687906,19568713,18691306,22304532
Malaysia,Sarawak,0,12379545,1558622185,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,10,11727777,1556882267,133,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,15,11699536,1555554478,133,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,20,11680467,1554629007,133,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,25,11666586,1553942931,133,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,30,11643005,1552792014,133,109979129,39818537,70160592,49973059,52423912,60359159,91893959,104906400,99030188,154630382,141658058,281095550,118678536,168875942,227701955,101989666,169841765,112491818,120188295,108173698,97024380,78487641,45973400,44978115,46580190,52563892
