country,year,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,emissions_Mg_CO2e
Malaysia,2001,0,135547,15517685,114,,,,
Malaysia,2001,10,129391,15510269,120,,,,
Malaysia,2001,15,129080,15494426,120,,,,
Malaysia,2001,20,128804,15479131,120,,,,
Malaysia,2001,25,128686,15472807,120,,,,
Malaysia,2001,30,128475,15461176,120,895739.0,551293.0,344446.0,466385.0
Malaysia,2001,50,127121,15374271,121,889429.0,539124.0,350305.0,464088.0
Malaysia,2001,75,122515,15015010,123,856213.0,498657.0,357556.0,443903.0
Malaysia,2001,0,155477,12357019,79,,,,
Malaysia,2001,10,133699,12330491,92,,,,
Malaysia,2001,15,132740,12278942,93,,,,
Malaysia,2001,20,131949,12234203,93,,,,
Malaysia,2001,25,131553,12211271,93,,,,
Malaysia,2001,30,130912,12174565,93,1665377.0,586824.0,1078553.0,1865614.0
Malaysia,2001,50,127295,11933089,94,1654212.0,565797.0,1088415.0,1853172.0
Malaysia,2001,75,110485,10570359,96,1547711.0,479152.0,1068559.0,1657040.0
Malaysia,2001,0,96333,9894666,103,,,,
Malaysia,2001,10,87992,9883948,112,,,,
Malaysia,2001,15,87575,9862535,113,,,,
Malaysia,2001,20,87216,9842895,113,,,,
Malaysia,2001,25,87019,9832262,113,,,,
Malaysia,2001,30,86702,9814604,113,635940.0,615405.0,20535.0,394983.0
Malaysia,2001,50,84912,9698643,114,628498.0,592808.0,35690.0,393032.0
Malaysia,2001,75,78148,9166462,117,583705.0,508506.0,75198.0,374785.0
Malaysia,2001,0,56336,3642141,65,,,,
Malaysia,2001,10,41695,3613446,87,,,,
Malaysia,2001,15,41199,3589805,87,,,,
Malaysia,2001,20,40825,3571093,87,,,,
Malaysia,2001,25,40608,3560386,88,,,,
Malaysia,2001,30,40250,3542699,88,172397.0,141457.0,30941.0,281567.0
Malaysia,2001,50,38391,3438042,90,169474.0,134401.0,35073.0,279358.0
Malaysia,2001,75,32061,2990746,93,152932.0,114965.0,37967.0,260655.0
Malaysia,2001,0,39344,3528024,90,,,,
Malaysia,2001,10,33368,3521003,106,,,,
Malaysia,2001,15,33045,3504399,106,,,,
Malaysia,2001,20,32796,3491092,106,,,,
Malaysia,2001,25,32667,3484186,107,,,,
Malaysia,2001,30,32460,3472821,107,295676.0,190883.0,104793.0,292559.0
Malaysia,2001,50,31226,3394542,109,291466.0,180527.0,110938.0,291069.0
