country,subnational1,subnational2,year,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tree_cover_loss
Malaysia,Kedah,Sik,2001,25,167059,159086,153165,1846,574
Malaysia,Kedah,Sik,2001,30,167059,158741,152883,1846,573
Malaysia,Kedah,Sik,2001,50,167059,156953,150706,1846,565
Malaysia,Kedah,Sik,2001,75,167059,151077,144176,1846,466
Malaysia,Kedah,Yan,2001,0,24783,24783,24783,111,10
Malaysia,Kedah,Yan,2001,10,24783,11180,6314,111,10
Malaysia,Kedah,Yan,2001,15,24783,11092,6210,111,10
Malaysia,Kedah,Yan,2001,20,24783,11053,6191,111,10
Malaysia,Kedah,Yan,2001,25,24783,11008,6134,111,10
Malaysia,Kedah,Yan,2001,30,24783,10888,6087,111,10
Malaysia,Kedah,Yan,2001,50,24783,10522,5867,111,9
Malaysia,Kedah,Yan,2001,75,24783,8124,5371,111,7
Malaysia,Kelantan,Bachok,2001,0,28035,28035,28035,567,25
Malaysia,Kelantan,Bachok,2001,10,28035,9894,8033,567,24
Malaysia,Kelantan,Bachok,2001,15,28035,9374,7393,567,23
Malaysia,Kelantan,Bachok,2001,20,28035,9027,7249,567,23
Malaysia,Kelantan,Bachok,2001,25,28035,8733,6989,567,23
Malaysia,Kelantan,Bachok,2001,30,28035,8200,6702,567,23
Malaysia,Kelantan,Bachok,2001,50,28035,6447,5175,567,22
Malaysia,Kelantan,Bachok,2001,75,28035,2962,2592,567,15
Malaysia,Kelantan,Gua Musang,2001,0,816728,816728,816728,9209,5743
Malaysia,Kelantan,Gua Musang,2001,10,816728,791597,748239,9209,5598
Malaysia,Kelantan,Gua Musang,2001,15,816728,790488,746084,9209,5579
Malaysia,Kelantan,Gua Musang,2001,20,816728,789686,744429,9209,5562
Malaysia,Kelantan,Gua Musang,2001,25,816728,789187,742936,9209,5553
Malaysia,Kelantan,Gua Musang,2001,30,816728,788273,741133,9209,5537
Malaysia,Kelantan,Gua Musang,2001,50,816728,783746,731289,9209,5445
Malaysia,Kelantan,Gua Musang,2001,75,816728,759554,703619,9209,5012
Malaysia,Kelantan,Jeli,2001,0,143012,143012,143012,1269,266
Malaysia,Kelantan,Jeli,2001,10,143012,138673,129224,1269,264
Malaysia,Kelantan,Jeli,2001,15,143012,138402,128827,1269,264
Malaysia,Kelantan,Jeli,2001,20,143012,138227,128529,1269,264
Malaysia,Kelantan,Jeli,2001,25,143012,138122,128270,1269,263
Malaysia,Kelantan,Jeli,2001,30,143012,137842,128003,1269,263
Malaysia,Kelantan,Jeli,2001,50,143012,136764,126487,1269,259
Malaysia,Kelantan,Jeli,2001,75,143012,132032,122153,1269,249
Malaysia,Kelantan,Kota Bharu,2001,0,40332,40332,40332,439,70
Malaysia,Kelantan,Kota Bharu,2001,10,40332,16762,14468,439,69
Malaysia,Kelantan,Kota Bharu,2001,15,40332,16135,13668,439,68
Malaysia,Kelantan,Kota Bharu,2001,20,40332,15738,13466,439,68
Malaysia,Kelantan,Kota Bharu,2001,25,40332,15463,13186,439,68
Malaysia,Kelantan,Kota Bharu,2001,30,40332,14790,12817,439,68
Malaysia,Kelantan,Kota Bharu,2001,50,40332,12912,10832,439,63
Malaysia,Kelantan,Kota Bharu,2001,75,40332,8552,7468,439,47
Malaysia,Kelantan,Kuala Krai,2001,0,227830,227830,227830,3723,2820
Malaysia,Kelantan,Kuala Krai,2001,10,227830,216303,202798,3723,2792
Malaysia,Kelantan,Kuala Krai,2001,15,227830,215778,201984,3723,2784
Malaysia,Kelantan,Kuala Krai,2001,20,227830,215389,201370,3723,2778
Malaysia,Kelantan,Kuala Krai,2001,25,227830,215202,200897,3723,2776
Malaysia,Kelantan,Kuala Krai,2001,30,227830,214665,200147,3723,2774
Malaysia,Kelantan,Kuala Krai,2001,50,227830,212747,196390,3723,2746
Malaysia,Kelantan,Kuala Krai,2001,75,227830,202132,184631,3723,2622
Malaysia,Kelantan,Machang,2001,0,52682,52682,52682,999,329
Malaysia,Kelantan,Machang,2001,10,52682,45228,42523,999,325
Malaysia,Kelantan,Machang,2001,15,52682,44877,42190,999,324
Malaysia,Kelantan,Machang,2001,20,52682,44651,41919,999,324
Malaysia,Kelantan,Machang,2001,25,52682,44541,41702,999,324
Malaysia,Kelantan,Machang,2001,30,52682,44152,41516,999,323
Malaysia,Kelantan,Machang,2001,50,52682,43141,40212,999,317
Malaysia,Kelantan,Machang,2001,75,52682,39777,37044,999,289
Malaysia,Kelantan,Pasir Mas,2001,0,59344,59344,59344,3373,355
Malaysia,Kelantan,Pasir Mas,2001,10,59344,38042,35632,3373,350
Malaysia,Kelantan,Pasir Mas,2001,15,59344,37220,34807,3373,348
Malaysia,Kelantan,Pasir Mas,2001,20,59344,36698,34252,3373,348
Malaysia,Kelantan,Pasir Mas,2001,25,59344,36381,33602,3373,348
Malaysia,Kelantan,Pasir Mas,2001,30,59344,35659,33219,3373,347
Malaysia,Kelantan,Pasir Mas,2001,50,59344,32984,30297,3373,337
Malaysia,Kelantan,Pasir Mas,2001,75,59344,25416,24049,3373,300
Malaysia,Kelantan,Pasir Putih,2001,0,40332,40332,40332,1167,174
Malaysia,Kelantan,Pasir Putih,2001,10,40332,20598,19407,1167,168
Malaysia,Kelantan,Pasir Putih,2001,15,40332,20056,18734,1167,167
Malaysia,Kelantan,Pasir Putih,2001,20,40332,19758,18481,1167,166
Malaysia,Kelantan,Pasir Putih,2001,25,40332,19552,18185,1167,166
Malaysia,Kelantan,Pasir Putih,2001,30,40332,19033,17867,1167,165
Malaysia,Kelantan,Pasir Putih,2001,50,40332,17684,16136,1167,160
Malaysia,Kelantan,Pasir Putih,2001,75,40332,14078,12870,1167,139
Malaysia,Kelantan,Tanah Merah,2001,0,85560,85560,85560,2024,1055
Malaysia,Kelantan,Tanah Merah,2001,10,85560,76917,71752,2024,1049
Malaysia,Kelantan,Tanah Merah,2001,15,85560,76513,71327,2024,1048
Malaysia,Kelantan,Tanah Merah,2001,20,85560,76223,70797,2024,1046
Malaysia,Kelantan,Tanah Merah,2001,25,85560,76090,70396,2024,1045
Malaysia,Kelantan,Tanah Merah,2001,30,85560,75643,70137,2024,1044
Malaysia,Kelantan,Tanah Merah,2001,50,85560,74290,68092,2024,1033
Malaysia,Kelantan,Tanah Merah,2001,75,85560,68963,62076,2024,975
Malaysia,Kelantan,Tumpat,2001,0,19351,19351,19351,256,15
Malaysia,Kelantan,Tumpat,2001,10,19351,7080,6649,256,15
Malaysia,Kelantan,Tumpat,2001,15,19351,6611,6114,256,15
Malaysia,Kelantan,Tumpat,2001,20,19351,6367,6002,256,15
Malaysia,Kelantan,Tumpat,2001,25,19351,6180,5776,256,15
Malaysia,Kelantan,Tumpat,2001,30,19351,5819,5536,256,15
Malaysia,Kelantan,Tumpat,2001,50,19351,4702,4340,256,14
Malaysia,Kelantan,Tumpat,2001,75,19351,2745,2617,256,9
Malaysia,Kuala Lumpur,Kuala Lumpur,2001,0,27198,27198,27198,863,39
Malaysia,Kuala Lumpur,Kuala Lumpur,2001,10,27198,6860,5199,863,38
Malaysia,Kuala Lumpur,Kuala Lumpur,2001,15,27198,5685,4642,863,37
Malaysia,Kuala Lumpur,Kuala Lumpur,2001,20,27198,5485,4556,863,37
Malaysia,Kuala Lumpur,Kuala Lumpur,2001,25,27198,5109,4403,863,36
Malaysia,Kuala Lumpur,Kuala Lumpur,2001,30,27198,4827,4100,863,36
Malaysia,Kuala Lumpur,Kuala Lumpur,2001,50,27198,3914,3071,863,30
Malaysia,Kuala Lumpur,Kuala Lumpur,2001,75,27198,2446,1492,863,15
Malaysia,Labuan,Labuan,2001,0,9066,9066,9066,188,25
Malaysia,Labuan,Labuan,2001,10,9066,4730,4401,188,24
Malaysia,Labuan,Labuan,2001,15,9066,4599,4289,188,24
Malaysia,Labuan,Labuan,2001,20,9066,4527,4270,188,24
Malaysia,Labuan,Labuan,2001,25,9066,4480,4235,188,24
Malaysia,Labuan,Labuan,2001,30,9066,4323,4163,188,24
Malaysia,Labuan,Labuan,2001,50,9066,3926,3695,188,24
Malaysia,Labuan,Labuan,2001,75,9066,3014,2883,188,22
Malaysia,Melaka,Alor Gajah,2001,0,67030,67030,67030,5753,1663
Malaysia,Melaka,Alor Gajah,2001,10,67030,49726,46799,5753,1653
Malaysia,Melaka,Alor Gajah,2001,15,67030,48982,46110,5753,1650
Malaysia,Melaka,Alor Gajah,2001,20,67030,48451,45452,5753,1645
Malaysia,Melaka,Alor Gajah,2001,25,67030,48150,44918,5753,1644
Malaysia,Melaka,Alor Gajah,2001,30,67030,47671,44523,5753,1642
Malaysia,Melaka,Alor Gajah,2001,50,67030,45025,41477,5753,1617
Malaysia,Melaka,Alor Gajah,2001,75,67030,36667,33101,5753,1392
Malaysia,Melaka,Jasin,2001,0,69871,69871,69871,6104,1731
Malaysia,Melaka,Jasin,2001,10,69871,56096,56719,6104,1704
Malaysia,Melaka,Jasin,2001,15,69871,55546,56259,6104,1697
Malaysia,Melaka,Jasin,2001,20,69871,55109,55778,6104,1690
Malaysia,Melaka,Jasin,2001,25,69871,54882,55445,6104,1686
Malaysia,Melaka,Jasin,2001,30,69871,54509,55153,6104,1678
Malaysia,Melaka,Jasin,2001,50,69871,52517,52993,6104,1644
Malaysia,Melaka,Jasin,2001,75,69871,45467,46529,6104,1457
Malaysia,Melaka,Melaka Tengah,2001,0,28502,28502,28502,1129,275
Malaysia,Melaka,Melaka Tengah,2001,10,28502,11518,9848,1129,273
Malaysia,Melaka,Melaka Tengah,2001,15,28502,11133,9500,1129,273
Malaysia,Melaka,Melaka Tengah,2001,20,28502,10915,9333,1129,273
Malaysia,Melaka,Melaka Tengah,2001,25,28502,10762,9127,1129,273
Malaysia,Melaka,Melaka Tengah,2001,30,28502,10495,8934,1129,273
Malaysia,Melaka,Melaka Tengah,2001,50,28502,9331,7915,1129,268
Malaysia,Melaka,Melaka Tengah,2001,75,28502,6681,5764,1129,252
Malaysia,Negeri Sembilan,Jelebu,2001,0,135547,135547,135547,3159,1608
Malaysia,Negeri Sembilan,Jelebu,2001,10,135547,129391,125989,3159,1600
Malaysia,Negeri Sembilan,Jelebu,2001,15,135547,129080,125546,3159,1598
Malaysia,Negeri Sembilan,Jelebu,2001,20,135547,128804,125190,3159,1596
Malaysia,Negeri Sembilan,Jelebu,2001,25,135547,128686,124850,3159,1595
Malaysia,Negeri Sembilan,Jelebu,2001,30,135547,128475,124621,3159,1594
Malaysia,Negeri Sembilan,Jelebu,2001,50,135547,127121,122783,3159,1581
Malaysia,Negeri Sembilan,Jelebu,2001,75,135547,122515,116633,3159,1518
Malaysia,Negeri Sembilan,Jempol,2001,0,155477,155477,155477,14446,9992
Malaysia,Negeri Sembilan,Jempol,2001,10,155477,133699,123944,14446,9948
Malaysia,Negeri Sembilan,Jempol,2001,15,155477,132740,122775,14446,9931
Malaysia,Negeri Sembilan,Jempol,2001,20,155477,131949,121104,14446,9912
Malaysia,Negeri Sembilan,Jempol,2001,25,155477,131553,120250,14446,9908
Malaysia,Negeri Sembilan,Jempol,2001,30,155477,130912,119295,14446,9896
Malaysia,Negeri Sembilan,Jempol,2001,50,155477,127295,111680,14446,9763
Malaysia,Negeri Sembilan,Jempol,2001,75,155477,110485,90300,14446,8333
Malaysia,Negeri Sembilan,Kuala Pilah,2001,0,96333,96333,96333,2427,819
Malaysia,Negeri Sembilan,Kuala Pilah,2001,10,96333,87992,85300,2427,814
Malaysia,Negeri Sembilan,Kuala Pilah,2001,15,96333,87575,84707,2427,812
Malaysia,Negeri Sembilan,Kuala Pilah,2001,20,96333,87216,84280,2427,810
Malaysia,Negeri Sembilan,Kuala Pilah,2001,25,96333,87019,83860,2427,810
Malaysia,Negeri Sembilan,Kuala Pilah,2001,30,96333,86702,83401,2427,808
Malaysia,Negeri Sembilan,Kuala Pilah,2001,50,96333,84912,80017,2427,799
Malaysia,Negeri Sembilan,Kuala Pilah,2001,75,96333,78148,72012,2427,741
Malaysia,Negeri Sembilan,Port Dickson,2001,0,56336,56336,56336,5855,3251
Malaysia,Negeri Sembilan,Port Dickson,2001,10,56336,41695,42743,5855,3240
Malaysia,Negeri Sembilan,Port Dickson,2001,15,56336,41199,42187,5855,3238
Malaysia,Negeri Sembilan,Port Dickson,2001,20,56336,40825,41842,5855,3233
Malaysia,Negeri Sembilan,Port Dickson,2001,25,56336,40608,41530,5855,3231
Malaysia,Negeri Sembilan,Port Dickson,2001,30,56336,40250,41234,5855,3228
Malaysia,Negeri Sembilan,Port Dickson,2001,50,56336,38391,39173,5855,3184
Malaysia,Negeri Sembilan,Port Dickson,2001,75,56336,32061,33372,5855,2833
Malaysia,Negeri Sembilan,Rembau,2001,0,39344,39344,39344,2445,850
Malaysia,Negeri Sembilan,Rembau,2001,10,39344,33368,31550,2445,847
Malaysia,Negeri Sembilan,Rembau,2001,15,39344,33045,31223,2445,845
Malaysia,Negeri Sembilan,Rembau,2001,20,39344,32796,30960,2445,843
Malaysia,Negeri Sembilan,Rembau,2001,25,39344,32667,30697,2445,842
Malaysia,Negeri Sembilan,Rembau,2001,30,39344,32460,30545,2445,841
Malaysia,Negeri Sembilan,Rembau,2001,50,39344,31226,29188,2445,832
Malaysia,Negeri Sembilan,Rembau,2001,75,39344,27391,24787,2445,730
Malaysia,Negeri Sembilan,Seremban,2001,0,97977,97977,97977,5800,2166
Malaysia,Negeri Sembilan,Seremban,2001,10,97977,71993,66205,5800,2157
Malaysia,Negeri Sembilan,Seremban,2001,15,97977,71196,65254,5800,2155
Malaysia,Negeri Sembilan,Seremban,2001,20,97977,70684,64766,5800,2151
Malaysia,Negeri Sembilan,Seremban,2001,25,97977,70347,64223,5800,2150
Malaysia,Negeri Sembilan,Seremban,2001,30,97977,69774,63700,5800,2148
Malaysia,Negeri Sembilan,Seremban,2001,50,97977,66883,60390,5800,2119
Malaysia,Negeri Sembilan,Seremban,2001,75,97977,56967,51318,5800,1842
Malaysia,Negeri Sembilan,Tampin,2001,0,85725,85725,85725,7066,3961
Malaysia,Negeri Sembilan,Tampin,2001,10,85725,72791,67343,7066,3938
Malaysia,Negeri Sembilan,Tampin,2001,15,85725,72260,66792,7066,3928
Malaysia,Negeri Sembilan,Tampin,2001,20,85725,71863,65971,7066,3923
Malaysia,Negeri Sembilan,Tampin,2001,25,85725,71649,65581,7066,3921
Malaysia,Negeri Sembilan,Tampin,2001,30,85725,71248,65174,7066,3917
Malaysia,Negeri Sembilan,Tampin,2001,50,85725,69147,62090,7066,3875
Malaysia,Negeri Sembilan,Tampin,2001,75,85725,59698,52190,7066,3567
Malaysia,Pahang,Bentong,2001,0,181514,181514,181514,4735,2494
Malaysia,Pahang,Bentong,2001,10,181514,170877,164156,4735,2481
Malaysia,Pahang,Bentong,2001,15,181514,170260,163345,4735,2479
Malaysia,Pahang,Bentong,2001,20,181514,169719,162786,4735,2476
Malaysia,Pahang,Bentong,2001,25,181514,169420,162195,4735,2472
Malaysia,Pahang,Bentong,2001,30,181514,168934,161698,4735,2469
Malaysia,Pahang,Bentong,2001,50,181514,166180,158181,4735,2426
Malaysia,Pahang,Bentong,2001,75,181514,154754,147169,4735,2117
Malaysia,Pahang,Bera,2001,0,219124,219124,219124,15866,5445
Malaysia,Pahang,Bera,2001,10,219124,192793,194844,15866,5353
Malaysia,Pahang,Bera,2001,15,219124,191828,193873,15866,5335
Malaysia,Pahang,Bera,2001,20,219124,191010,192659,15866,5305
Malaysia,Pahang,Bera,2001,25,219124,190610,192010,15866,5297
Malaysia,Pahang,Bera,2001,30,219124,189874,191171,15866,5276
Malaysia,Pahang,Bera,2001,50,219124,185892,185652,15866,5114
